Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.829            1           1         374       1512 main 
 45.2        0.683        0.683         374           0          2 std::ceil(float) 
  3.0        0.042        0.045           1           1         45 global constructors keyed to num_primes 
  0.2        0.003        0.003           1           0          3 __static_initialization_and_destruction_0(int, int) 

NODE 0;CONTEXT 0;THREAD 1:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
  0.1        0.027        0.113           5           5         23 std::vector<int, std::allocator<int> >::vector() 
  0.1        0.068        0.109          10          20         11 __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >::difference_type __gnu_cxx::operator-<void**, std::vector<void*, std::allocator<void*> > >(__gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > > const&, __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > > const&) 
  0.1        0.071        0.108          15          15          7 int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*) 
  0.1         0.07        0.105          15          15          7 std::allocator<int>::allocator(std::allocator<int> const&) 
  0.1        0.104        0.104          45           0          2 std::_Rb_tree_iterator<std::pair<unsigned long const, int> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<unsigned long const, int> >*) 
  0.1        0.069        0.103          15          15          7 std::vector<int, std::allocator<int> >::begin() const 
  0.1        0.068        0.103          15          15          7 std::vector<int, std::allocator<int> >::end() const 
  0.1         0.07        0.103          15          15          7 void** std::__copy_move_a<false, void* const*, void**>(void* const*, void* const*, void**) 
  0.1        0.069        0.102          15          15          7 std::vector<void*, std::allocator<void*> >::end() const 
  0.1        0.069        0.101          15          15          7 std::allocator<void*>::allocator(std::allocator<void*> const&) 
  0.1          0.1          0.1          45           0          2 __gnu_cxx::new_allocator<int>::max_size() const 
  0.1        0.068          0.1          15          15          7 std::vector<void*, std::allocator<void*> >::begin() const 
  0.1        0.099        0.099          45           0          2 __gnu_cxx::new_allocator<void*>::max_size() const 
  0.1        0.065        0.098          15          15          7 __gnu_cxx::new_allocator<void*>::construct(void**, void* const&) 
  0.1        0.064        0.098          15          15          7 std::allocator<int>::~allocator() 
  0.1        0.095        0.095          30           0          3 std::_Iter_base<__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >, false>::_S_base(__gnu_cxx::__normal_iterator<void* const*, std::vector<void*, std::allocator<void*> > >) 
  0.1        0.089        0.089          40           0          2 __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const 
  0.1        0.024        0.087           5           5         17 std::_Vector_base<void*, std::allocator<void*> >::_Vector_base() 
  0.1        0.024        0.086           5           5         17 std::_Vector_base<int, std::allocator<int> >::_Vector_base() 
  0.1        0.059        0.086          11          11          8 std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::empty() const 
  0.1        0.071        0.084           5           5         17 std::allocator<std::_Rb_tree_node<int> >::allocator() 
  0.1        0.083        0.083          40           0          2 __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >::base() const 
  0.1        0.083        0.083          35           0          2 int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) 
  0.1        0.081        0.081          35           0          2 std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const 
  0.1        0.079        0.079          35           0          2 void** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<void*>(void* const*, void* const*, void**) 
  0.1        0.066        0.077           5           5         15 std::allocator<std::pair<void* const, _data_access_log> >::~allocator() 
