Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >::difference_type __gnu_cxx::operator-<void**, std::vector<void*, std::allocator<void*> > >(__gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > > const&, __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > > const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void*, std::allocator<void*> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<void* (*)(void*)>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<void* (*)(void*)>::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<void*>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<void*>::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_allocate(unsigned int)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<void* (*)(void*), std::allocator<void* (*)(void*)> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<void* (*)(void*), std::allocator<void* (*)(void*)> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<void* (*)(void*), std::allocator<void* (*)(void*)> >::_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<void* (*)(void*), std::allocator<void* (*)(void*)> >::~_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_M_allocate(unsigned int)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::~_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_insert_aux(__gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >, void* (* const&)(void*))
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_erase_at_end(void* (**)(void*))
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::end()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::begin()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::clear()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::vector()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::~vector()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void*, std::allocator<void*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >, void* const&)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void*, std::allocator<void*> >::_M_erase_at_end(void**)
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void*, std::allocator<void*> >::end()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void*, std::allocator<void*> >::begin()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void*, std::allocator<void*> >::clear()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void*, std::allocator<void*> >::vector()
  0.00      0.00     0.00        1     0.00     0.00  std::vector<void*, std::allocator<void*> >::~vector()

			Call graph


granularity: each sample hit covers 4 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00     374/374         main [4]
[5]      0.0    0.00    0.00     374         std::ceil(float) [5]
-----------------------------------------------
                0.00    0.00       4/10          std::_Miter_base<void* (**)(void*)>::iterator_type std::__miter_base<void* (**)(void*)>(void* (**)(void*)) [16]
                0.00    0.00       6/10          std::_Niter_base<void* (**)(void*)>::iterator_type std::__niter_base<void* (**)(void*)>(void* (**)(void*)) [8]
[6]      0.0    0.00    0.00      10         std::_Iter_base<void* (**)(void*), false>::_S_base(void* (**)(void*)) [6]
-----------------------------------------------
                0.00    0.00       4/10          std::_Miter_base<void**>::iterator_type std::__miter_base<void**>(void**) [17]
                0.00    0.00       6/10          std::_Niter_base<void**>::iterator_type std::__niter_base<void**>(void**) [9]
[7]      0.0    0.00    0.00      10         std::_Iter_base<void**, false>::_S_base(void**) [7]
-----------------------------------------------
                0.00    0.00       6/6           void* (**std::__copy_move_a2<false, void* (**)(void*), void* (**)(void*)>(void* (**)(void*), void* (**)(void*), void* (**)(void*)))(void*) [85]
[8]      0.0    0.00    0.00       6         std::_Niter_base<void* (**)(void*)>::iterator_type std::__niter_base<void* (**)(void*)>(void* (**)(void*)) [8]
                0.00    0.00       6/10          std::_Iter_base<void* (**)(void*), false>::_S_base(void* (**)(void*)) [6]
-----------------------------------------------
                0.00    0.00       6/6           void** std::__copy_move_a2<false, void**, void**>(void**, void**, void**) [86]
[9]      0.0    0.00    0.00       6         std::_Niter_base<void**>::iterator_type std::__niter_base<void**>(void**) [9]
